naimenovanie	cena	ssylka_na_stranicu
Брус коробочный 42*92*2100мм Ель/Сосна сорт АВ	559,00	https://xn--e1alcpii.xn--p1ai/catalog/dveri_derevyannye_steklyannye/brus_korobochnyy_1/brus_korobochnyy_el_sosna_42_92_2100mm_sort_av/
Брусок декоративный	390,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_dekorativnyy/
Брусок естественной влажности 25*50*2000мм 3-4 сорт ТУ хвойные породы	49,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_estestvennoy_vlazhnosti_25_50_2000mm_3_4_sort_tu_khvoynye_porody/
Брусок естественной влажности 25*50*3000мм 3-4 сорт ТУ хвойные породы	79,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_estestvennoy_vlazhnosti_25_50_3000mm_3_4_sort_tu_khvoynye_porody/
Брусок естественной влажности 50*50*2000мм 3-4 сорт ТУ хвойные породы	115,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_estestvennoy_vlazhnosti_50_50_2000mm_3_4_sort_tu_khvoynye_porody/
Брусок естественной влажности 50*50*3000мм 3-4 сорт ТУ хвойные породы	159,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_estestvennoy_vlazhnosti_50_50_3000mm_3_4_sort_tu_khvoynye_porody/
Брусок естественной влажности 50*50*6000мм 3-4 сорт ТУ хвойные породы	299,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_estestvennoy_vlazhnosti_50_50_6000mm_3_4_sort_tu_khvoynye_porody/
Брусок нестроганый	49,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_estestvennoy_vlazhnosti/
Брусок нестроганый камерной сушки 25*50*2000мм 1-3 сорт хвойные породы	59,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_nestroganyy_kamernoy_sushki_25_50_2000mm_1_3_sort_khvoynye_porody/
Брусок нестроганый камерной сушки 25*50*3000мм 1-3 сорт хвойные породы	95,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_nestroganyy_kamernoy_sushki_20_40_3000mm_1_3_sort_khvoya/
Брусок нестроганый камерной сушки 50*50*2000мм 1-3 сорт хвойные породы	139,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_nestroganyy_kamernoy_sushki_50_50_2000mm_1_3_sort_khvoynye_porody/
Брусок нестроганый камерной сушки 50*50*3000мм 1-3 сорт хвойные породы	189,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_nestroganyy_kamernoy_sushki_50_50_3000mm_1_3_sort_khvoynye_porody/
Брусок сращенный для перегородок 25*50*3000мм сосна сорт Экстра (прямой без фаски)	290,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_srashchennyy_dlya_peregorodok_25_50_3000mm_sosna_sort_ekstra_pryamoy_bez_faski/
Брусок сращенный для перегородок 30*50*3000мм сосна сорт Экстра (прямой без фаски)	390,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_srashchennyy_dlya_peregorodok_30_50_3000mm_sosna_sort_ekstra_pryamoy_bez_faski/
Брусок сращенный для перегородок 40*40*3000мм сосна сорт С (с фаской R5 на углах)	169,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_srashchennyy_dlya_peregorodok_40_40_3000mm_sosna_sort_s_s_faskoy_r5_na_uglakh/
Брусок сращенный для перегородок 40*40*3000мм сосна сорт Экстра (с фаской R5 на углах)	590,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_srashchennyy_dlya_peregorodok_40_40_3000mm_sosna_sort_ekstra_s_faskoy_na_uglakh/
Брусок сращенный для перегородок 40*60*3000мм сосна сорт Экстра (с фаской R3 на углах)	890,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_srashchennyy_dlya_peregorodok_40_60_3000mm_sosna_sort_ekstra_s_faskoy_r3_na_uglakh/
Брусок сращенный для перегородок 50*50*3000мм сосна сорт Экстра (с фаской R3 на углах)	890,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_srashchennyy_dlya_peregorodok_50_50_3000mm_sosna_sort_ekstra_s_faskoy_na_uglakh/
Брусок строганый 45*45*2000мм сорт АВ лиственница (без фаски)	289,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_45_45_2000mm_sort_av_listvennitsa_bez_faski/
Брусок строганый 45*45*2500мм сорт АВ Лиственница (с фаской R3 на углах)	499,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_45_45_2500mm_sort_av_listvennitsa_s_faskoy_r3_na_uglakh/
Брусок строганый 45*45*3000мм сорт АВ лиственница (без фаски)	399,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_45_45_3000mm_sort_av_listvennitsa_pryamoy/
Брусок строганый 45*70*3000мм сорт АВ Лиственница (с фаской R3 на углах)	799,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_45_70_3000mm_sort_av_listvennitsa_s_faskoy_r3_na_uglakh/
Брусок строганый 45*70*4000мм сорт АВ лиственница	1122,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_45_70_4000mm_sort_av_listvennitsa/
Брусок строганый камерной сушки 10*30*2000мм сорт АВ ель/сосна	59,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_10_30_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 10*30*3000мм сорт АВ ель/сосна	89,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_10_30_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 10*40*2000мм сорт АВ ель/сосна	64,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_10_40_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 10*40*3000мм сорт АВ ель/сосна	89,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_10_40_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*30*2000мм сорт АВ ель/сосна	56,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_30_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*30*2500мм сорт АВ ель/сосна	59,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_30_2500mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*30*3000мм сорт АВ ель/сосна	74,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_30_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*30*3000мм сорт С ель/сосна	49,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_30_3000mm_sort_s_el_sosna/
Брусок строганый камерной сушки 20*40*2000мм сорт АВ ель/сосна	56,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_40_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*40*2500мм сорт АВ ель/сосна	64,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_40_2500mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*40*3000мм сорт C ель/сосна	49,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_40_3000mm_sort_c_el_sosna/
Брусок строганый камерной сушки 20*40*3000мм сорт АВ ель/сосна	72,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_40_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*50*2000мм сорт АВ ель/сосна	69,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_50_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*50*2500мм сорт АВ ель/сосна	109,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_50_2500mm_sort_av_el_sosna/
Брусок строганый камерной сушки 20*50*3000мм сорт C ель/сосна	69,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_50_3000mm_sort_c_el_sosna/
Брусок строганый камерной сушки 20*50*3000мм сорт АВ ель/сосна	99,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_20_50_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 30*30*2000мм сорт АВ ель/сосна	89,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_30_30_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 30*30*3000мм сорт АВ ель/сосна	129,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_30_30_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 30*40*2000мм сорт АВ ель/сосна	94,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_30_40_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 30*40*2500мм сорт АВ ель/сосна	109,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_30_40_2500mm_sort_av_el_sosna/
Брусок строганый камерной сушки 30*40*3000мм сорт АВ ель/сосна	128,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_30_40_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 30*50*2000мм сорт АВ ель/сосна	139,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_30_50_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 30*50*3000мм сорт АВ ель/сосна	169,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_30_50_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*40*2000мм сорт АВ ель/сосна	129,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_40_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*40*2000мм сорт С ель/сосна	88,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_40_2000mm_sort_s_el_sosna/
Брусок строганый камерной сушки 40*40*3000мм сорт АВ ель/сосна	194,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_40_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*50*2000мм сорт АВ ель/сосна	159,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_50_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*50*2500мм сорт АВ ель/сосна	189,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_50_2500mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*50*3000мм сорт АВ ель/сосна	249,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_50_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*60*2000мм сорт АВ ель/сосна	165,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_60_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*60*3000мм сорт АВ ель/сосна	265,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_60_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*70*2000мм сорт АВ ель/сосна	269,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_70_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 40*70*3000мм сорт АВ ель/сосна	369,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_40_70_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 50*50*2000мм сорт АВ ель/сосна	199,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_50_50_2000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 50*50*2500мм сорт АВ ель/сосна	249,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_50_50_2500mm_sort_av_el_sosna/
Брусок строганый камерной сушки 50*50*3000мм сорт АВ ель/сосна	254,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_50_50_3000mm_sort_av_el_sosna/
Брусок строганый камерной сушки 50*50*3000мм сорт С ель/сосна	169,00	https://xn--e1alcpii.xn--p1ai/catalog/doska_brus_brusok/brusok_montazhnyy/brusok_stroganyy_kamernoy_sushki_50_50_3000mm_sort_s_el_sosna/
